strategy,live_sensors,n,mean_latency_ms,median_latency_ms,stddev_latency_ms,p95_latency_ms,mean_historical_source_time_ms,mean_coordinator_time_ms,mean_records_scanned,mean_records_returned,mean_bytes_transferred,mean_request_count,fetch_all_bytes_over_bind_join,aggregate_pushdown_bytes_over_bind_join,fetch_all_latency_over_bind_join,aggregate_pushdown_latency_over_bind_join
fetch-all,10,3,43.552278,42.712750,1.341105,45.444875,16.004472,27.547708,100000.000,100000.000,11990180.000,2.000,7836.718954,,45.465638,
aggregate-pushdown,10,3,3.243027,3.146916,0.158563,3.466541,3.239361,0.003611,100000.000,1000.000,38070.000,2.000,,24.882353,,3.385502
bind-join,10,3,0.957916,0.948541,0.034010,1.003458,0.957111,0.000764,100000.000,10.000,1530.000,2.000,,,,
fetch-all,100,3,43.037222,43.051375,0.926795,44.165167,15.704778,27.332361,100000.000,100000.000,12000890.000,2.000,775.251292,,35.141989,
aggregate-pushdown,100,3,3.104069,3.104708,0.014432,3.121417,3.096597,0.007417,100000.000,1000.000,48780.000,2.000,,3.151163,,2.534624
bind-join,100,3,1.224667,1.230208,0.028929,1.257000,1.219361,0.005264,100000.000,100.000,15480.000,2.000,,,,
fetch-all,1000,3,45.277361,43.290541,3.248927,49.858625,15.419097,29.858097,100000.000,100000.000,12108890.000,2.000,77.234915,,7.365566,
aggregate-pushdown,1000,3,3.342500,3.331167,0.033562,3.388083,3.293917,0.048528,100000.000,1000.000,156780.000,2.000,,1.000000,,0.543746
bind-join,1000,3,6.147166,6.201458,1.022821,7.371833,6.088472,0.058667,100000.000,1000.000,156780.000,2.000,,,,
