strategy,source_pairs,historical_observations_per_source,active_live_fraction,active_live_sources,repetition,logical_query_count,logical_branch_count,live_sources_declared,historical_sources_declared,live_sources_contacted,live_sources_with_results,historical_sources_contacted,historical_sources_skipped,source_requests,historical_records_scanned,historical_records_returned,raw_records_transferred,aggregate_rows_transferred,total_bytes_transferred,total_execution_ms,live_phase_ms,historical_phase_ms,coordinator_ms,query_parse_ms,query_lowering_ms,query_decomposition_ms,result_count,result_hash
fetch-all-sources,10,10000,0.1,1,1,1,10,10,10,10,1,10,0,20,100000,100000,100000,0,11810012,14.211000,0.001459,14.208041,0.001208,excluded,excluded,excluded,1,14708463868867433843
fetch-all-sources,10,10000,0.1,1,2,1,10,10,10,10,1,10,0,20,100000,100000,100000,0,11810012,13.534625,0.002250,13.530917,0.001000,excluded,excluded,excluded,1,14708463868867433843
fetch-all-sources,10,10000,0.1,1,3,1,10,10,10,10,1,10,0,20,100000,100000,100000,0,11810012,13.662916,0.001750,13.659833,0.001042,excluded,excluded,excluded,1,14708463868867433843
fetch-all-sources,10,10000,0.1,1,4,1,10,10,10,10,1,10,0,20,100000,100000,100000,0,11810012,14.094958,0.001917,14.091459,0.001291,excluded,excluded,excluded,1,14708463868867433843
aggregate-all-sources,10,10000,0.1,1,0,1,10,10,10,10,1,10,0,20,100000,10,0,10,132,3.002000,0.000791,3.000792,0.000083,excluded,excluded,excluded,1,14708463868867433843
aggregate-all-sources,10,10000,0.1,1,1,1,10,10,10,10,1,10,0,20,100000,10,0,10,132,3.008417,0.000542,3.007584,0.000084,excluded,excluded,excluded,1,14708463868867433843
aggregate-all-sources,10,10000,0.1,1,2,1,10,10,10,10,1,10,0,20,100000,10,0,10,132,3.016166,0.000459,3.015375,0.000084,excluded,excluded,excluded,1,14708463868867433843
aggregate-all-sources,10,10000,0.1,1,3,1,10,10,10,10,1,10,0,20,100000,10,0,10,132,3.004667,0.000584,3.003792,0.000083,excluded,excluded,excluded,1,14708463868867433843
aggregate-all-sources,10,10000,0.1,1,4,1,10,10,10,10,1,10,0,20,100000,10,0,10,132,3.000833,0.000500,3.000000,0.000084,excluded,excluded,excluded,1,14708463868867433843
live-first-source-selection,10,10000,0.1,1,0,1,10,10,10,10,1,1,9,11,10000,1,0,1,24,0.300542,0.000584,0.299750,0.000083,excluded,excluded,excluded,1,14708463868867433843
live-first-source-selection,10,10000,0.1,1,1,1,10,10,10,10,1,1,9,11,10000,1,0,1,24,0.300375,0.000500,0.299667,0.000041,excluded,excluded,excluded,1,14708463868867433843
live-first-source-selection,10,10000,0.1,1,2,1,10,10,10,10,1,1,9,11,10000,1,0,1,24,0.303625,0.000500,0.303000,0.000084,excluded,excluded,excluded,1,14708463868867433843
live-first-source-selection,10,10000,0.1,1,3,1,10,10,10,10,1,1,9,11,10000,1,0,1,24,0.300125,0.000500,0.299458,0.000041,excluded,excluded,excluded,1,14708463868867433843
live-first-source-selection,10,10000,0.1,1,4,1,10,10,10,10,1,1,9,11,10000,1,0,1,24,0.307084,0.000500,0.306417,0.000042,excluded,excluded,excluded,1,14708463868867433843
fetch-all-sources,25,10000,0.1,3,0,1,25,25,25,25,3,25,0,50,250000,250000,250000,0,29660036,33.695416,0.004167,33.689084,0.001500,excluded,excluded,excluded,3,6178897026408693386
fetch-all-sources,25,10000,0.1,3,1,1,25,25,25,25,3,25,0,50,250000,250000,250000,0,29660036,34.005042,0.002667,34.000708,0.001208,excluded,excluded,excluded,3,6178897026408693386
fetch-all-sources,25,10000,0.1,3,2,1,25,25,25,25,3,25,0,50,250000,250000,250000,0,29660036,33.968292,0.002458,33.964333,0.001125,excluded,excluded,excluded,3,6178897026408693386
fetch-all-sources,25,10000,0.1,3,3,1,25,25,25,25,3,25,0,50,250000,250000,250000,0,29660036,34.398541,0.002292,34.394750,0.001083,excluded,excluded,excluded,3,6178897026408693386
fetch-all-sources,25,10000,0.1,3,4,1,25,25,25,25,3,25,0,50,250000,250000,250000,0,29660036,33.875209,0.002334,33.871083,0.001417,excluded,excluded,excluded,3,6178897026408693386
aggregate-all-sources,25,10000,0.1,3,0,1,25,25,25,25,3,25,0,50,250000,25,0,25,336,7.622791,0.001917,7.619958,0.000333,excluded,excluded,excluded,3,6178897026408693386
