plan,live_selectivity,metadata_selectivity,repetition,active_live_sources,metadata_eligible_sources,intersection_sources,live_sources_contacted,metadata_requests,historical_sources_contacted,historical_sources_skipped,live_rows_transferred,metadata_rows_transferred,historical_rows_transferred,join_key_rows_transferred,raw_bytes_transferred,aggregate_bytes_transferred,join_key_bytes_transferred,metadata_bytes_transferred,total_bytes_transferred,historical_records_scanned,join_input_rows_left,join_input_rows_right,join_output_rows,total_execution_ms,live_phase_ms,metadata_phase_ms,historical_phase_ms,join_ms,coordinator_ms,result_count,result_hash
LiveMetadataSemiJoin,1,75,0,1,75,1,100,1,1,99,240,1,1,2,0,48,80,72,19400,10000,1,1,1,0.014750,0.000666,0.000000,0.000000,0.000000,0.000000,240,4231585949554221421
CentralFetchAll,1,100,0,1,100,1,100,1,100,0,240,100,1000000,0,80000000,0,0,7200,80026400,1000000,240,100,240,0.014916,0.000916,0.000042,0.000042,0.000042,0.000000,240,4231585949554221421
AggregateAll,1,100,0,1,100,1,100,1,100,0,240,100,100,0,0,4800,0,7200,31200,1000000,240,100,240,0.015667,0.001625,0.000042,0.000000,0.000000,0.000000,240,4231585949554221421
LiveFirst,1,100,0,1,100,1,100,1,1,99,240,100,1,0,0,48,0,7200,26448,10000,240,100,240,0.014791,0.000791,0.000042,0.000000,0.000000,0.000000,240,4231585949554221421
MetadataFirst,1,100,0,1,100,1,100,1,100,0,240,100,100,0,0,4800,0,7200,31200,1000000,240,100,240,0.014709,0.000750,0.000000,0.000000,0.000000,0.000000,240,4231585949554221421
LiveMetadataSemiJoin,1,100,0,1,100,1,100,1,1,99,240,1,1,2,0,48,80,72,19400,10000,1,1,1,0.014792,0.000709,0.000000,0.000041,0.000041,0.000000,240,4231585949554221421
CentralFetchAll,5,1,0,5,1,0,100,1,100,0,1200,1,1000000,0,80000000,0,0,72,80096072,1000000,1200,1,0,0.000709,0.000500,0.000042,0.000042,0.000042,0.000000,0,14695981039346656037
AggregateAll,5,1,0,5,1,0,100,1,100,0,1200,1,100,0,0,4800,0,72,100872,1000000,1200,1,0,0.000500,0.000334,0.000000,0.000000,0.000000,0.000000,0,14695981039346656037
LiveFirst,5,1,0,5,1,0,100,1,5,95,1200,1,5,0,0,240,0,72,96312,50000,1200,1,0,0.000375,0.000208,0.000000,0.000042,0.000042,0.000000,0,14695981039346656037
MetadataFirst,5,1,0,5,1,0,1,1,1,99,0,1,1,0,0,48,0,72,120,10000,0,1,0,0.000375,0.000209,0.000000,0.000041,0.000041,0.000000,0,14695981039346656037
LiveMetadataSemiJoin,5,1,0,5,1,0,100,1,0,100,1200,0,0,5,0,0,200,0,96200,0,5,0,0,0.000500,0.000250,0.000042,0.000042,0.000042,0.000000,0,14695981039346656037
CentralFetchAll,5,5,0,5,5,0,100,1,100,0,1200,5,1000000,0,80000000,0,0,360,80096360,1000000,1200,5,0,0.000625,0.000459,0.000000,0.000000,0.000000,0.000000,0,14695981039346656037
AggregateAll,5,5,0,5,5,0,100,1,100,0,1200,5,100,0,0,4800,0,360,101160,1000000,1200,5,0,0.000500,0.000333,0.000000,0.000042,0.000042,0.000000,0,14695981039346656037
LiveFirst,5,5,0,5,5,0,100,1,5,95,1200,5,5,0,0,240,0,360,96600,50000,1200,5,0,0.000458,0.000292,0.000000,0.000000,0.000000,0.000000,0,14695981039346656037
MetadataFirst,5,5,0,5,5,0,5,1,5,95,0,5,5,0,0,240,0,360,600,50000,0,5,0,0.000458,0.000292,0.000041,0.000000,0.000000,0.000000,0,14695981039346656037
LiveMetadataSemiJoin,5,5,0,5,5,0,100,1,0,100,1200,0,0,5,0,0,200,0,96200,0,5,0,0,0.000500,0.000292,0.000042,0.000042,0.000042,0.000000,0,14695981039346656037
CentralFetchAll,5,10,0,5,10,0,100,1,100,0,1200,10,1000000,0,80000000,0,0,720,80096720,1000000,1200,10,0,0.000625,0.000458,0.000000,0.000000,0.000000,0.000000,0,14695981039346656037
AggregateAll,5,10,0,5,10,0,100,1,100,0,1200,10,100,0,0,4800,0,720,101520,1000000,1200,10,0,0.000500,0.000333,0.000042,0.000042,0.000042,0.000000,0,14695981039346656037
LiveFirst,5,10,0,5,10,0,100,1,5,95,1200,10,5,0,0,240,0,720,96960,50000,1200,10,0,0.000500,0.000333,0.000000,0.000000,0.000000,0.000000,0,14695981039346656037
MetadataFirst,5,10,0,5,10,0,10,1,10,90,0,10,10,0,0,480,0,720,1200,100000,0,10,0,0.000500,0.000334,0.000000,0.000000,0.000000,0.000000,0,14695981039346656037
LiveMetadataSemiJoin,5,10,0,5,10,0,100,1,0,100,1200,0,0,5,0,0,200,0,96200,0,5,0,0,0.000500,0.000292,0.000000,0.000000,0.000000,0.000000,0,14695981039346656037
CentralFetchAll,5,25,0,5,25,0,100,1,100,0,1200,25,1000000,0,80000000,0,0,1800,80097800,1000000,1200,25,0,0.000958,0.000791,0.000000,0.000000,0.000000,0.000000,0,14695981039346656037
AggregateAll,5,25,0,5,25,0,100,1,100,0,1200,25,100,0,0,4800,0,1800,102600,1000000,1200,25,0,0.000709,0.000542,0.000000,0.000000,0.000000,0.000000,0,14695981039346656037
LiveFirst,5,25,0,5,25,0,100,1,5,95,1200,25,5,0,0,240,0,1800,98040,50000,1200,25,0,0.000667,0.000500,0.000000,0.000042,0.000042,0.000000,0,14695981039346656037
MetadataFirst,5,25,0,5,25,0,25,1,25,75,0,25,25,0,0,1200,0,1800,3000,250000,0,25,0,0.000667,0.000500,0.000042,0.000000,0.000000,0.000000,0,14695981039346656037
LiveMetadataSemiJoin,5,25,0,5,25,0,100,1,0,100,1200,0,0,5,0,0,200,0,96200,0,5,0,0,0.001458,0.000458,0.000041,0.000000,0.000000,0.000000,0,14695981039346656037
CentralFetchAll,5,50,0,5,50,5,100,1,100,0,1200,50,1000000,0,80000000,0,0,3600,80099600,1000000,1200,50,1200,0.074917,0.001250,0.000042,0.000000,0.000000,0.000000,1200,2620688558611694869
AggregateAll,5,50,0,5,50,5,100,1,100,0,1200,50,100,0,0,4800,0,3600,104400,1000000,1200,50,1200,0.072375,0.000750,0.000000,0.000042,0.000042,0.000000,1200,2620688558611694869
LiveFirst,5,50,0,5,50,5,100,1,5,95,1200,50,5,0,0,240,0,3600,99840,50000,1200,50,1200,0.072125,0.000750,0.000000,0.000000,0.000000,0.000000,1200,2620688558611694869
MetadataFirst,5,50,0,5,50,5,50,1,50,50,1200,50,50,0,0,2400,0,3600,102000,500000,1200,50,1200,0.072083,0.000708,0.000042,0.000000,0.000000,0.000000,1200,2620688558611694869
LiveMetadataSemiJoin,5,50,0,5,50,5,100,1,5,95,1200,5,5,10,0,240,400,360,97000,50000,5,5,5,0.072167,0.000709,0.000042,0.000042,0.000042,0.000000,1200,2620688558611694869
CentralFetchAll,5,75,0,5,75,5,100,1,100,0,1200,75,1000000,0,80000000,0,0,5400,80101400,1000000,1200,75,1200,0.150333,0.001208,0.000000,0.000000,0.000000,0.000000,1200,2620688558611694869
AggregateAll,5,75,0,5,75,5,100,1,100,0,1200,75,100,0,0,4800,0,5400,106200,1000000,1200,75,1200,0.196250,0.002542,0.000042,0.000042,0.000042,0.000000,1200,2620688558611694869
LiveFirst,5,75,0,5,75,5,100,1,5,95,1200,75,5,0,0,240,0,5400,101640,50000,1200,75,1200,0.195959,0.002417,0.000042,0.000042,0.000042,0.000000,1200,2620688558611694869
MetadataFirst,5,75,0,5,75,5,75,1,75,25,1200,75,75,0,0,3600,0,5400,105000,750000,1200,75,1200,0.196084,0.002334,0.000083,0.000041,0.000041,0.000000,1200,2620688558611694869
LiveMetadataSemiJoin,5,75,0,5,75,5,100,1,5,95,1200,5,5,10,0,240,400,360,97000,50000,5,5,5,0.196458,0.002458,0.000042,0.000042,0.000042,0.000000,1200,2620688558611694869
CentralFetchAll,5,100,0,5,100,5,100,1,100,0,1200,100,1000000,0,80000000,0,0,7200,80103200,1000000,1200,100,1200,0.196458,0.002708,0.000042,0.000042,0.000042,0.000000,1200,2620688558611694869
AggregateAll,5,100,0,5,100,5,100,1,100,0,1200,100,100,0,0,4800,0,7200,108000,1000000,1200,100,1200,0.196292,0.002334,0.000042,0.000042,0.000042,0.000000,1200,2620688558611694869
LiveFirst,5,100,0,5,100,5,100,1,5,95,1200,100,5,0,0,240,0,7200,103440,50000,1200,100,1200,0.194000,0.002167,0.000042,0.000042,0.000042,0.000000,1200,2620688558611694869
MetadataFirst,5,100,0,5,100,5,100,1,100,0,1200,100,100,0,0,4800,0,7200,108000,1000000,1200,100,1200,0.195708,0.002083,0.000042,0.000042,0.000042,0.000000,1200,2620688558611694869
LiveMetadataSemiJoin,5,100,0,5,100,5,100,1,5,95,1200,5,5,10,0,240,400,360,97000,50000,5,5,5,0.195834,0.002084,0.000042,0.000042,0.000042,0.000000,1200,2620688558611694869
CentralFetchAll,10,1,0,10,1,0,100,1,100,0,2400,1,1000000,0,80000000,0,0,72,80192072,1000000,2400,1,0,0.001708,0.001250,0.000042,0.000042,0.000042,0.000000,0,14695981039346656037
AggregateAll,10,1,0,10,1,0,100,1,100,0,2400,1,100,0,0,4800,0,72,196872,1000000,2400,1,0,0.001334,0.000834,0.000041,0.000041,0.000041,0.000000,0,14695981039346656037
LiveFirst,10,1,0,10,1,0,100,1,10,90,2400,1,10,0,0,480,0,72,192552,100000,2400,1,0,0.001167,0.000708,0.000041,0.000041,0.000041,0.000000,0,14695981039346656037
MetadataFirst,10,1,0,10,1,0,1,1,1,99,0,1,1,0,0,48,0,72,120,10000,0,1,0,0.001208,0.000791,0.000041,0.000041,0.000041,0.000000,0,14695981039346656037
LiveMetadataSemiJoin,10,1,0,10,1,0,100,1,0,100,2400,0,0,10,0,0,400,0,192400,0,10,0,0,0.001500,0.000750,0.000042,0.000041,0.000041,0.000000,0,14695981039346656037
