plan,live_selectivity,metadata_selectivity,repetition,active_live_sources,metadata_eligible_sources,intersection_sources,live_sources_contacted,metadata_requests,historical_sources_contacted,historical_sources_skipped,live_rows_transferred,metadata_rows_transferred,historical_rows_transferred,join_key_rows_transferred,raw_bytes_transferred,aggregate_bytes_transferred,join_key_bytes_transferred,metadata_bytes_transferred,total_bytes_transferred,historical_records_scanned,join_input_rows_left,join_input_rows_right,join_output_rows,total_execution_ms,live_phase_ms,metadata_phase_ms,historical_phase_ms,join_ms,coordinator_ms,result_count,result_hash
MetadataFirst,25,50,0,25,50,8,50,1,50,50,1920,50,50,0,0,2400,0,3600,159600,500000,1920,50,1920,0.233333,0.001875,0.000000,0.000042,0.000042,0.000000,1920,17436870847114633577
LiveMetadataSemiJoin,25,50,0,25,50,8,100,1,8,92,6000,8,8,33,0,384,1320,576,482280,80000,25,8,8,0.229375,0.001750,0.000000,0.000042,0.000042,0.000000,1920,17436870847114633577
CentralFetchAll,25,75,0,25,75,25,100,1,100,0,6000,75,1000000,0,80000000,0,0,5400,80485400,1000000,6000,75,6000,0.729833,0.003375,0.000042,0.000000,0.000000,0.000000,6000,10169266464158218055
AggregateAll,25,75,0,25,75,25,100,1,100,0,6000,75,100,0,0,4800,0,5400,490200,1000000,6000,75,6000,0.716958,0.002750,0.000041,0.000000,0.000000,0.000000,6000,10169266464158218055
LiveFirst,25,75,0,25,75,25,100,1,25,75,6000,75,25,0,0,1200,0,5400,486600,250000,6000,75,6000,0.716000,0.002500,0.000042,0.000042,0.000042,0.000000,6000,10169266464158218055
MetadataFirst,25,75,0,25,75,25,75,1,75,25,6000,75,75,0,0,3600,0,5400,489000,750000,6000,75,6000,0.714750,0.002500,0.000042,0.000042,0.000042,0.000000,6000,10169266464158218055
LiveMetadataSemiJoin,25,75,0,25,75,25,100,1,25,75,6000,25,25,50,0,1200,2000,1800,485000,250000,25,25,25,0.715709,0.002459,0.000042,0.000042,0.000042,0.000000,6000,10169266464158218055
CentralFetchAll,25,100,0,25,100,25,100,1,100,0,6000,100,1000000,0,80000000,0,0,7200,80487200,1000000,6000,100,6000,0.717417,0.003500,0.000000,0.000042,0.000042,0.000000,6000,10169266464158218055
AggregateAll,25,100,0,25,100,25,100,1,100,0,6000,100,100,0,0,4800,0,7200,492000,1000000,6000,100,6000,0.715750,0.002833,0.000042,0.000000,0.000000,0.000000,6000,10169266464158218055
LiveFirst,25,100,0,25,100,25,100,1,25,75,6000,100,25,0,0,1200,0,7200,488400,250000,6000,100,6000,0.715584,0.002667,0.000041,0.000042,0.000042,0.000000,6000,10169266464158218055
MetadataFirst,25,100,0,25,100,25,100,1,100,0,6000,100,100,0,0,4800,0,7200,492000,1000000,6000,100,6000,0.659166,0.002666,0.000042,0.000041,0.000041,0.000000,6000,10169266464158218055
LiveMetadataSemiJoin,25,100,0,25,100,25,100,1,25,75,6000,25,25,50,0,1200,2000,1800,485000,250000,25,25,25,0.634125,0.002291,0.000000,0.000000,0.000000,0.000000,6000,10169266464158218055
CentralFetchAll,50,1,0,50,1,0,100,1,100,0,12000,1,1000000,0,80000000,0,0,72,80960072,1000000,12000,1,0,0.001667,0.001375,0.000000,0.000000,0.000000,0.000000,0,14695981039346656037
AggregateAll,50,1,0,50,1,0,100,1,100,0,12000,1,100,0,0,4800,0,72,964872,1000000,12000,1,0,0.001208,0.000917,0.000042,0.000042,0.000042,0.000000,0,14695981039346656037
LiveFirst,50,1,0,50,1,0,100,1,50,50,12000,1,50,0,0,2400,0,72,962472,500000,12000,1,0,0.001125,0.000833,0.000041,0.000042,0.000042,0.000000,0,14695981039346656037
MetadataFirst,50,1,0,50,1,0,1,1,1,99,0,1,1,0,0,48,0,72,120,10000,0,1,0,0.001166,0.000875,0.000042,0.000042,0.000042,0.000000,0,14695981039346656037
LiveMetadataSemiJoin,50,1,0,50,1,0,100,1,0,100,12000,0,0,50,0,0,2000,0,962000,0,50,0,0,0.001209,0.000792,0.000042,0.000041,0.000041,0.000000,0,14695981039346656037
CentralFetchAll,50,5,0,50,5,0,100,1,100,0,12000,5,1000000,0,80000000,0,0,360,80960360,1000000,12000,5,0,0.001750,0.001458,0.000041,0.000042,0.000042,0.000000,0,14695981039346656037
AggregateAll,50,5,0,50,5,0,100,1,100,0,12000,5,100,0,0,4800,0,360,965160,1000000,12000,5,0,0.001417,0.001125,0.000042,0.000041,0.000041,0.000000,0,14695981039346656037
LiveFirst,50,5,0,50,5,0,100,1,50,50,12000,5,50,0,0,2400,0,360,962760,500000,12000,5,0,0.001334,0.001042,0.000041,0.000042,0.000042,0.000000,0,14695981039346656037
MetadataFirst,50,5,0,50,5,0,5,1,5,95,0,5,5,0,0,240,0,360,600,50000,0,5,0,0.001292,0.001042,0.000000,0.000000,0.000000,0.000000,0,14695981039346656037
LiveMetadataSemiJoin,50,5,0,50,5,0,100,1,0,100,12000,0,0,50,0,0,2000,0,962000,0,50,0,0,0.001375,0.001000,0.000042,0.000041,0.000041,0.000000,0,14695981039346656037
CentralFetchAll,50,10,0,50,10,0,100,1,100,0,12000,10,1000000,0,80000000,0,0,720,80960720,1000000,12000,10,0,0.001792,0.001500,0.000041,0.000042,0.000042,0.000000,0,14695981039346656037
AggregateAll,50,10,0,50,10,0,100,1,100,0,12000,10,100,0,0,4800,0,720,965520,1000000,12000,10,0,0.001417,0.001125,0.000042,0.000041,0.000041,0.000000,0,14695981039346656037
LiveFirst,50,10,0,50,10,0,100,1,50,50,12000,10,50,0,0,2400,0,720,963120,500000,12000,10,0,0.001458,0.001166,0.000042,0.000041,0.000041,0.000000,0,14695981039346656037
MetadataFirst,50,10,0,50,10,0,10,1,10,90,0,10,10,0,0,480,0,720,1200,100000,0,10,0,0.001417,0.001167,0.000000,0.000000,0.000000,0.000000,0,14695981039346656037
LiveMetadataSemiJoin,50,10,0,50,10,0,100,1,0,100,12000,0,0,50,0,0,2000,0,962000,0,50,0,0,0.001542,0.001125,0.000041,0.000042,0.000042,0.000000,0,14695981039346656037
CentralFetchAll,50,25,0,50,25,0,100,1,100,0,12000,25,1000000,0,80000000,0,0,1800,80961800,1000000,12000,25,0,0.002125,0.001833,0.000041,0.000042,0.000042,0.000000,0,14695981039346656037
AggregateAll,50,25,0,50,25,0,100,1,100,0,12000,25,100,0,0,4800,0,1800,966600,1000000,12000,25,0,0.001833,0.001542,0.000042,0.000000,0.000000,0.000000,0,14695981039346656037
LiveFirst,50,25,0,50,25,0,100,1,50,50,12000,25,50,0,0,2400,0,1800,964200,500000,12000,25,0,0.001667,0.001375,0.000042,0.000041,0.000041,0.000000,0,14695981039346656037
MetadataFirst,50,25,0,50,25,0,25,1,25,75,0,25,25,0,0,1200,0,1800,3000,250000,0,25,0,0.001666,0.001416,0.000042,0.000000,0.000000,0.000000,0,14695981039346656037
LiveMetadataSemiJoin,50,25,0,50,25,0,100,1,0,100,12000,0,0,50,0,0,2000,0,962000,0,50,0,0,0.001750,0.001375,0.000042,0.000000,0.000000,0.000000,0,14695981039346656037
CentralFetchAll,50,50,0,50,50,8,100,1,100,0,12000,50,1000000,0,80000000,0,0,3600,80963600,1000000,12000,50,1920,0.205084,0.002500,0.000042,0.000041,0.000041,0.000000,1920,17436870847114633577
AggregateAll,50,50,0,50,50,8,100,1,100,0,12000,50,100,0,0,4800,0,3600,968400,1000000,12000,50,1920,0.204917,0.002000,0.000000,0.000000,0.000000,0.000000,1920,17436870847114633577
LiveFirst,50,50,0,50,50,8,100,1,50,50,12000,50,50,0,0,2400,0,3600,966000,500000,12000,50,1920,0.204083,0.001875,0.000000,0.000000,0.000000,0.000000,1920,17436870847114633577
MetadataFirst,50,50,0,50,50,8,50,1,50,50,1920,50,50,0,0,2400,0,3600,159600,500000,1920,50,1920,0.203625,0.001792,0.000042,0.000042,0.000042,0.000000,1920,17436870847114633577
LiveMetadataSemiJoin,50,50,0,50,50,8,100,1,8,92,12000,8,8,58,0,384,2320,576,963280,80000,50,8,8,0.204042,0.001833,0.000000,0.000000,0.000000,0.000000,1920,17436870847114633577
CentralFetchAll,50,75,0,50,75,33,100,1,100,0,12000,75,1000000,0,80000000,0,0,5400,80965400,1000000,12000,75,7920,0.843208,0.003333,0.000041,0.000042,0.000042,0.000000,7920,6230687982958028957
AggregateAll,50,75,0,50,75,33,100,1,100,0,12000,75,100,0,0,4800,0,5400,970200,1000000,12000,75,7920,0.838375,0.002792,0.000000,0.000000,0.000000,0.000000,7920,6230687982958028957
LiveFirst,50,75,0,50,75,33,100,1,50,50,12000,75,50,0,0,2400,0,5400,967800,500000,12000,75,7920,0.842959,0.002542,0.000041,0.000042,0.000042,0.000000,7920,6230687982958028957
MetadataFirst,50,75,0,50,75,33,75,1,75,25,7920,75,75,0,0,3600,0,5400,642600,750000,7920,75,7920,0.837417,0.002584,0.000042,0.000042,0.000042,0.000000,7920,6230687982958028957
LiveMetadataSemiJoin,50,75,0,50,75,33,100,1,33,67,12000,33,33,83,0,1584,3320,2376,967280,330000,50,33,33,0.837833,0.002500,0.000042,0.000041,0.000041,0.000000,7920,6230687982958028957
CentralFetchAll,50,100,0,50,100,50,100,1,100,0,12000,100,1000000,0,80000000,0,0,7200,80967200,1000000,12000,100,12000,1.164250,0.003666,0.000000,0.000042,0.000042,0.000000,12000,17096568036514413523
AggregateAll,50,100,0,50,100,50,100,1,100,0,12000,100,100,0,0,4800,0,7200,972000,1000000,12000,100,12000,1.137958,0.003542,0.000042,0.000000,0.000000,0.000000,12000,17096568036514413523
LiveFirst,50,100,0,50,100,50,100,1,50,50,12000,100,50,0,0,2400,0,7200,969600,500000,12000,100,12000,1.136375,0.002875,0.000042,0.000041,0.000041,0.000000,12000,17096568036514413523
MetadataFirst,50,100,0,50,100,50,100,1,100,0,12000,100,100,0,0,4800,0,7200,972000,1000000,12000,100,12000,1.137166,0.002708,0.000000,0.000042,0.000042,0.000000,12000,17096568036514413523
LiveMetadataSemiJoin,50,100,0,50,100,50,100,1,50,50,12000,50,50,100,0,2400,4000,3600,970000,500000,50,50,50,1.142959,0.002709,0.000000,0.000041,0.000041,0.000000,12000,17096568036514413523
CentralFetchAll,75,1,0,75,1,1,100,1,100,0,18000,1,1000000,0,80000000,0,0,72,81440072,1000000,18000,1,240,0.024583,0.001833,0.000042,0.000000,0.000000,0.000000,240,6105806625292439653
AggregateAll,75,1,0,75,1,1,100,1,100,0,18000,1,100,0,0,4800,0,72,1444872,1000000,18000,1,240,0.024250,0.001500,0.000042,0.000042,0.000042,0.000000,240,6105806625292439653
LiveFirst,75,1,0,75,1,1,100,1,75,25,18000,1,75,0,0,3600,0,72,1443672,750000,18000,1,240,0.024416,0.001250,0.000000,0.000042,0.000042,0.000000,240,6105806625292439653
MetadataFirst,75,1,0,75,1,1,1,1,1,99,240,1,1,0,0,48,0,72,19320,10000,240,1,240,0.023709,0.001042,0.000041,0.000000,0.000000,0.000000,240,6105806625292439653
LiveMetadataSemiJoin,75,1,0,75,1,1,100,1,1,99,18000,1,1,76,0,48,3040,72,1443160,10000,75,1,1,0.023875,0.001042,0.000042,0.000041,0.000041,0.000000,240,6105806625292439653
CentralFetchAll,75,5,0,75,5,5,100,1,100,0,18000,5,1000000,0,80000000,0,0,360,81440360,1000000,18000,5,1200,0.115917,0.001709,0.000000,0.000042,0.000042,0.000000,1200,12533273939560595013
AggregateAll,75,5,0,75,5,5,100,1,100,0,18000,5,100,0,0,4800,0,360,1445160,1000000,18000,5,1200,0.115375,0.001375,0.000042,0.000000,0.000000,0.000000,1200,12533273939560595013
LiveFirst,75,5,0,75,5,5,100,1,75,25,18000,5,75,0,0,3600,0,360,1443960,750000,18000,5,1200,0.114917,0.001292,0.000000,0.000042,0.000042,0.000000,1200,12533273939560595013
MetadataFirst,75,5,0,75,5,5,5,1,5,95,1200,5,5,0,0,240,0,360,96600,50000,1200,5,1200,0.115000,0.001291,0.000042,0.000041,0.000041,0.000000,1200,12533273939560595013
LiveMetadataSemiJoin,75,5,0,75,5,5,100,1,5,95,18000,5,5,80,0,240,3200,360,1443800,50000,75,5,5,0.115416,0.001333,0.000041,0.000000,0.000000,0.000000,1200,12533273939560595013
CentralFetchAll,75,10,0,75,10,10,100,1,100,0,18000,10,1000000,0,80000000,0,0,720,81440720,1000000,18000,10,2400,0.229958,0.001833,0.000041,0.000000,0.000000,0.000000,2400,8357615465014724645
AggregateAll,75,10,0,75,10,10,100,1,100,0,18000,10,100,0,0,4800,0,720,1445520,1000000,18000,10,2400,0.210458,0.001458,0.000000,0.000000,0.000000,0.000000,2400,8357615465014724645
LiveFirst,75,10,0,75,10,10,100,1,75,25,18000,10,75,0,0,3600,0,720,1444320,750000,18000,10,2400,0.209917,0.001333,0.000000,0.000000,0.000000,0.000000,2400,8357615465014724645
MetadataFirst,75,10,0,75,10,10,10,1,10,90,2400,10,10,0,0,480,0,720,193200,100000,2400,10,2400,0.209500,0.001291,0.000000,0.000042,0.000042,0.000000,2400,8357615465014724645
LiveMetadataSemiJoin,75,10,0,75,10,10,100,1,10,90,18000,10,10,85,0,480,3400,720,1444600,100000,75,10,10,0.211791,0.001375,0.000000,0.000000,0.000000,0.000000,2400,8357615465014724645
CentralFetchAll,75,25,0,75,25,17,100,1,100,0,18000,25,1000000,0,80000000,0,0,1800,81441800,1000000,18000,25,4080,0.358917,0.002292,0.000042,0.000042,0.000042,0.000000,4080,14453642920121645275
AggregateAll,75,25,0,75,25,17,100,1,100,0,18000,25,100,0,0,4800,0,1800,1446600,1000000,18000,25,4080,0.358209,0.001959,0.000000,0.000000,0.000000,0.000000,4080,14453642920121645275
LiveFirst,75,25,0,75,25,17,100,1,75,25,18000,25,75,0,0,3600,0,1800,1445400,750000,18000,25,4080,0.351500,0.001834,0.000000,0.000042,0.000042,0.000000,4080,14453642920121645275
MetadataFirst,75,25,0,75,25,17,25,1,25,75,4080,25,25,0,0,1200,0,1800,329400,250000,4080,25,4080,0.351958,0.001708,0.000041,0.000000,0.000000,0.000000,4080,14453642920121645275
LiveMetadataSemiJoin,75,25,0,75,25,17,100,1,17,83,18000,17,17,92,0,816,3680,1224,1445720,170000,75,17,17,0.351625,0.001708,0.000000,0.000000,0.000000,0.000000,4080,14453642920121645275
CentralFetchAll,75,50,0,75,50,25,100,1,100,0,18000,50,1000000,0,80000000,0,0,3600,81443600,1000000,18000,50,6000,0.521000,0.002917,0.000042,0.000042,0.000042,0.000000,6000,10523098706455302695
AggregateAll,75,50,0,75,50,25,100,1,100,0,18000,50,100,0,0,4800,0,3600,1448400,1000000,18000,50,6000,0.515292,0.002167,0.000041,0.000041,0.000041,0.000000,6000,10523098706455302695
LiveFirst,75,50,0,75,50,25,100,1,75,25,18000,50,75,0,0,3600,0,3600,1447200,750000,18000,50,6000,0.514417,0.002042,0.000000,0.000000,0.000000,0.000000,6000,10523098706455302695
MetadataFirst,75,50,0,75,50,25,50,1,50,50,6000,50,50,0,0,2400,0,3600,486000,500000,6000,50,6000,0.515583,0.002000,0.000042,0.000042,0.000042,0.000000,6000,10523098706455302695
LiveMetadataSemiJoin,75,50,0,75,50,25,100,1,25,75,18000,25,25,100,0,1200,4000,1800,1447000,250000,75,25,25,0.515416,0.002041,0.000042,0.000041,0.000041,0.000000,6000,10523098706455302695
CentralFetchAll,75,75,0,75,75,50,100,1,100,0,18000,75,1000000,0,80000000,0,0,5400,81445400,1000000,18000,75,12000,1.029417,0.003042,0.000000,0.000000,0.000000,0.000000,12000,5632340767488362843
AggregateAll,75,75,0,75,75,50,100,1,100,0,18000,75,100,0,0,4800,0,5400,1450200,1000000,18000,75,12000,0.977333,0.002958,0.000000,0.000041,0.000041,0.000000,12000,5632340767488362843
LiveFirst,75,75,0,75,75,50,100,1,75,25,18000,75,75,0,0,3600,0,5400,1449000,750000,18000,75,12000,0.952708,0.002417,0.000042,0.000000,0.000000,0.000000,12000,5632340767488362843
MetadataFirst,75,75,0,75,75,50,75,1,75,25,12000,75,75,0,0,3600,0,5400,969000,750000,12000,75,12000,0.952333,0.002167,0.000042,0.000042,0.000042,0.000000,12000,5632340767488362843
LiveMetadataSemiJoin,75,75,0,75,75,50,100,1,50,50,18000,50,50,125,0,2400,5000,3600,1451000,500000,75,50,50,0.962125,0.002208,0.000000,0.000042,0.000042,0.000000,12000,5632340767488362843
CentralFetchAll,75,100,0,75,100,75,100,1,100,0,18000,100,1000000,0,80000000,0,0,7200,81447200,1000000,18000,100,18000,1.420500,0.003375,0.000042,0.000042,0.000042,0.000000,18000,8337784078126615669
AggregateAll,75,100,0,75,100,75,100,1,100,0,18000,100,100,0,0,4800,0,7200,1452000,1000000,18000,100,18000,1.321750,0.002959,0.000000,0.000042,0.000042,0.000000,18000,8337784078126615669
LiveFirst,75,100,0,75,100,75,100,1,75,25,18000,100,75,0,0,3600,0,7200,1450800,750000,18000,100,18000,1.321625,0.002667,0.000041,0.000000,0.000000,0.000000,18000,8337784078126615669
MetadataFirst,75,100,0,75,100,75,100,1,100,0,18000,100,100,0,0,4800,0,7200,1452000,1000000,18000,100,18000,1.321916,0.002541,0.000000,0.000000,0.000000,0.000000,18000,8337784078126615669
LiveMetadataSemiJoin,75,100,0,75,100,75,100,1,75,25,18000,75,75,150,0,3600,6000,5400,1455000,750000,75,75,75,1.324333,0.002500,0.000000,0.000042,0.000042,0.000000,18000,8337784078126615669
CentralFetchAll,100,1,0,100,1,1,100,1,100,0,24000,1,1000000,0,80000000,0,0,72,81920072,1000000,24000,1,240,0.018958,0.001333,0.000000,0.000000,0.000000,0.000000,240,6105806625292439653
AggregateAll,100,1,0,100,1,1,100,1,100,0,24000,1,100,0,0,4800,0,72,1924872,1000000,24000,1,240,0.018625,0.001000,0.000042,0.000000,0.000000,0.000000,240,6105806625292439653
LiveFirst,100,1,0,100,1,1,100,1,100,0,24000,1,100,0,0,4800,0,72,1924872,1000000,24000,1,240,0.018584,0.000959,0.000042,0.000000,0.000000,0.000000,240,6105806625292439653
MetadataFirst,100,1,0,100,1,1,1,1,1,99,240,1,1,0,0,48,0,72,19320,10000,240,1,240,0.018500,0.000917,0.000042,0.000042,0.000042,0.000000,240,6105806625292439653
LiveMetadataSemiJoin,100,1,0,100,1,1,100,1,1,99,24000,1,1,101,0,48,4040,72,1924160,10000,100,1,1,0.018541,0.000875,0.000000,0.000042,0.000042,0.000000,240,6105806625292439653
CentralFetchAll,100,5,0,100,5,5,100,1,100,0,24000,5,1000000,0,80000000,0,0,360,81920360,1000000,24000,5,1200,0.089792,0.001167,0.000041,0.000000,0.000000,0.000000,1200,12533273939560595013
AggregateAll,100,5,0,100,5,5,100,1,100,0,24000,5,100,0,0,4800,0,360,1925160,1000000,24000,5,1200,0.089750,0.001000,0.000000,0.000000,0.000000,0.000000,1200,12533273939560595013
LiveFirst,100,5,0,100,5,5,100,1,100,0,24000,5,100,0,0,4800,0,360,1925160,1000000,24000,5,1200,0.089625,0.001042,0.000042,0.000000,0.000000,0.000000,1200,12533273939560595013
MetadataFirst,100,5,0,100,5,5,5,1,5,95,1200,5,5,0,0,240,0,360,96600,50000,1200,5,1200,0.089792,0.001000,0.000000,0.000000,0.000000,0.000000,1200,12533273939560595013
LiveMetadataSemiJoin,100,5,0,100,5,5,100,1,5,95,24000,5,5,105,0,240,4200,360,1924800,50000,100,5,5,0.089708,0.000958,0.000000,0.000000,0.000000,0.000000,1200,12533273939560595013
CentralFetchAll,100,10,0,100,10,10,100,1,100,0,24000,10,1000000,0,80000000,0,0,720,81920720,1000000,24000,10,2400,0.177791,0.001791,0.000000,0.000000,0.000000,0.000000,2400,8357615465014724645
AggregateAll,100,10,0,100,10,10,100,1,100,0,24000,10,100,0,0,4800,0,720,1925520,1000000,24000,10,2400,0.170541,0.001416,0.000000,0.000000,0.000000,0.000000,2400,8357615465014724645
LiveFirst,100,10,0,100,10,10,100,1,100,0,24000,10,100,0,0,4800,0,720,1925520,1000000,24000,10,2400,0.171209,0.001292,0.000041,0.000000,0.000000,0.000000,2400,8357615465014724645
MetadataFirst,100,10,0,100,10,10,10,1,10,90,2400,10,10,0,0,480,0,720,193200,100000,2400,10,2400,0.170083,0.001250,0.000041,0.000000,0.000000,0.000000,2400,8357615465014724645
LiveMetadataSemiJoin,100,10,0,100,10,10,100,1,10,90,24000,10,10,110,0,480,4400,720,1925600,100000,100,10,10,0.170917,0.001208,0.000000,0.000000,0.000000,0.000000,2400,8357615465014724645
CentralFetchAll,100,25,0,100,25,25,100,1,100,0,24000,25,1000000,0,80000000,0,0,1800,81921800,1000000,24000,25,6000,0.427958,0.002041,0.000042,0.000000,0.000000,0.000000,6000,882659286983494753
AggregateAll,100,25,0,100,25,25,100,1,100,0,24000,25,100,0,0,4800,0,1800,1926600,1000000,24000,25,6000,0.421958,0.001833,0.000000,0.000042,0.000042,0.000000,6000,882659286983494753
LiveFirst,100,25,0,100,25,25,100,1,100,0,24000,25,100,0,0,4800,0,1800,1926600,1000000,24000,25,6000,0.421875,0.001583,0.000041,0.000000,0.000000,0.000000,6000,882659286983494753
MetadataFirst,100,25,0,100,25,25,25,1,25,75,6000,25,25,0,0,1200,0,1800,483000,250000,6000,25,6000,0.422625,0.001625,0.000000,0.000000,0.000000,0.000000,6000,882659286983494753
LiveMetadataSemiJoin,100,25,0,100,25,25,100,1,25,75,24000,25,25,125,0,1200,5000,1800,1928000,250000,100,25,25,0.421833,0.001542,0.000042,0.000000,0.000000,0.000000,6000,882659286983494753
CentralFetchAll,100,50,0,100,50,50,100,1,100,0,24000,50,1000000,0,80000000,0,0,3600,81923600,1000000,24000,50,12000,0.835083,0.002458,0.000041,0.000041,0.000041,0.000000,12000,1715737807203275145
AggregateAll,100,50,0,100,50,50,100,1,100,0,24000,50,100,0,0,4800,0,3600,1928400,1000000,24000,50,12000,0.836791,0.001958,0.000000,0.000041,0.000041,0.000000,12000,1715737807203275145
LiveFirst,100,50,0,100,50,50,100,1,100,0,24000,50,100,0,0,4800,0,3600,1928400,1000000,24000,50,12000,0.841917,0.001958,0.000042,0.000000,0.000000,0.000000,12000,1715737807203275145
MetadataFirst,100,50,0,100,50,50,50,1,50,50,12000,50,50,0,0,2400,0,3600,966000,500000,12000,50,12000,0.830500,0.001959,0.000000,0.000000,0.000000,0.000000,12000,1715737807203275145
LiveMetadataSemiJoin,100,50,0,100,50,50,100,1,50,50,24000,50,50,150,0,2400,6000,3600,1932000,500000,100,50,50,0.820792,0.001917,0.000000,0.000041,0.000041,0.000000,12000,1715737807203275145
CentralFetchAll,100,75,0,100,75,75,100,1,100,0,24000,75,1000000,0,80000000,0,0,5400,81925400,1000000,24000,75,18000,1.198208,0.002666,0.000000,0.000000,0.000000,0.000000,18000,553488315079969333
AggregateAll,100,75,0,100,75,75,100,1,100,0,24000,75,100,0,0,4800,0,5400,1930200,1000000,24000,75,18000,1.206916,0.002583,0.000000,0.000000,0.000000,0.000000,18000,553488315079969333
LiveFirst,100,75,0,100,75,75,100,1,100,0,24000,75,100,0,0,4800,0,5400,1930200,1000000,24000,75,18000,1.204750,0.002500,0.000000,0.000041,0.000041,0.000000,18000,553488315079969333
MetadataFirst,100,75,0,100,75,75,75,1,75,25,18000,75,75,0,0,3600,0,5400,1449000,750000,18000,75,18000,1.175542,0.002292,0.000042,0.000000,0.000000,0.000000,18000,553488315079969333
LiveMetadataSemiJoin,100,75,0,100,75,75,100,1,75,25,24000,75,75,175,0,3600,7000,5400,1936000,750000,100,75,75,1.166875,0.002291,0.000000,0.000000,0.000000,0.000000,18000,553488315079969333
CentralFetchAll,100,100,0,100,100,100,100,1,100,0,24000,100,1000000,0,80000000,0,0,7200,81927200,1000000,24000,100,24000,1.541542,0.002625,0.000000,0.000042,0.000042,0.000000,24000,9054378649758508639
AggregateAll,100,100,0,100,100,100,100,1,100,0,24000,100,100,0,0,4800,0,7200,1932000,1000000,24000,100,24000,1.551458,0.002416,0.000000,0.000042,0.000042,0.000000,24000,9054378649758508639
LiveFirst,100,100,0,100,100,100,100,1,100,0,24000,100,100,0,0,4800,0,7200,1932000,1000000,24000,100,24000,1.546750,0.002458,0.000000,0.000042,0.000042,0.000000,24000,9054378649758508639
MetadataFirst,100,100,0,100,100,100,100,1,100,0,24000,100,100,0,0,4800,0,7200,1932000,1000000,24000,100,24000,1.500542,0.002209,0.000000,0.000000,0.000000,0.000000,24000,9054378649758508639
LiveMetadataSemiJoin,100,100,0,100,100,100,100,1,100,0,24000,100,100,200,0,4800,8000,7200,1940000,1000000,100,100,100,1.488333,0.002250,0.000000,0.000000,0.000000,0.000000,24000,9054378649758508639
