evaluation_index,plan,operator_id,operator_type,operator_location,input_rows,output_rows,bytes_received,bytes_sent,requests,execution_ms
77,LiveFirst,live,LiveWindow,live-source,24000,2400,192000,0,100,0.000875
77,LiveFirst,metadata,MetadataScan,metadata-source,100,5,360,0,1,0.000041
77,LiveFirst,history,HistoricalAVG,historical-source,100000,10,480,0,10,0.000042
77,LiveFirst,join,HashJoin,coordinator,2405,0,0,0,0,0.000041
78,MetadataFirst,live,LiveWindow,live-source,24000,0,0,0,5,0.000958
78,MetadataFirst,metadata,MetadataScan,metadata-source,100,5,360,0,1,0.000041
78,MetadataFirst,history,HistoricalAVG,historical-source,50000,5,240,0,5,0.000041
78,MetadataFirst,join,BindJoin,coordinator,5,0,0,0,0,0.000041
79,LiveMetadataSemiJoin,live,LiveWindow,live-source,24000,2400,192000,0,100,0.000875
79,LiveMetadataSemiJoin,metadata,MetadataScan,metadata-source,100,0,0,400,1,0.000042
79,LiveMetadataSemiJoin,keys,SemiJoin,coordinator,10,0,400,400,1,0.000042
79,LiveMetadataSemiJoin,history,HistoricalAVG,historical-source,0,0,0,0,0,0.000041
79,LiveMetadataSemiJoin,join,SemiJoin,coordinator,10,0,0,0,0,0.000041
80,CentralFetchAll,live,LiveWindow,live-source,24000,2400,192000,0,100,0.001208
80,CentralFetchAll,metadata,MetadataScan,metadata-source,100,10,720,0,1,0.000042
80,CentralFetchAll,history,HistoricalScan,historical-source,1000000,1000000,80000000,0,100,0.000042
80,CentralFetchAll,join,HashJoin,coordinator,2410,0,0,0,0,0.000042
81,AggregateAll,live,LiveWindow,live-source,24000,2400,192000,0,100,0.001041
81,AggregateAll,metadata,MetadataScan,metadata-source,100,10,720,0,1,0.000041
81,AggregateAll,history,HistoricalAVG,historical-source,1000000,100,4800,0,100,0.000042
81,AggregateAll,join,HashJoin,coordinator,2410,0,0,0,0,0.000041
82,LiveFirst,live,LiveWindow,live-source,24000,2400,192000,0,100,0.001125
82,LiveFirst,metadata,MetadataScan,metadata-source,100,10,720,0,1,0.000042
82,LiveFirst,history,HistoricalAVG,historical-source,100000,10,480,0,10,0.000041
82,LiveFirst,join,HashJoin,coordinator,2410,0,0,0,0,0.000042
83,MetadataFirst,live,LiveWindow,live-source,24000,0,0,0,10,0.001042
83,MetadataFirst,metadata,MetadataScan,metadata-source,100,10,720,0,1,0.000042
83,MetadataFirst,history,HistoricalAVG,historical-source,100000,10,480,0,10,0.000042
83,MetadataFirst,join,BindJoin,coordinator,10,0,0,0,0,0.000042
84,LiveMetadataSemiJoin,live,LiveWindow,live-source,24000,2400,192000,0,100,0.001084
84,LiveMetadataSemiJoin,metadata,MetadataScan,metadata-source,100,0,0,400,1,0.000042
84,LiveMetadataSemiJoin,keys,SemiJoin,coordinator,10,0,400,400,1,0.000042
84,LiveMetadataSemiJoin,history,HistoricalAVG,historical-source,0,0,0,0,0,0.000042
84,LiveMetadataSemiJoin,join,SemiJoin,coordinator,10,0,0,0,0,0.000042
85,CentralFetchAll,live,LiveWindow,live-source,24000,2400,192000,0,100,0.001667
85,CentralFetchAll,metadata,MetadataScan,metadata-source,100,25,1800,0,1,0.000042
85,CentralFetchAll,history,HistoricalScan,historical-source,1000000,1000000,80000000,0,100,0.000042
85,CentralFetchAll,join,HashJoin,coordinator,2425,0,0,0,0,0.000042
86,AggregateAll,live,LiveWindow,live-source,24000,2400,192000,0,100,0.001708
86,AggregateAll,metadata,MetadataScan,metadata-source,100,25,1800,0,1,0.000041
86,AggregateAll,history,HistoricalAVG,historical-source,1000000,100,4800,0,100,0.000042
86,AggregateAll,join,HashJoin,coordinator,2425,0,0,0,0,0.000041
87,LiveFirst,live,LiveWindow,live-source,24000,2400,192000,0,100,0.001458
87,LiveFirst,metadata,MetadataScan,metadata-source,100,25,1800,0,1,0.000042
87,LiveFirst,history,HistoricalAVG,historical-source,100000,10,480,0,10,0.000042
87,LiveFirst,join,HashJoin,coordinator,2425,0,0,0,0,0.000042
88,MetadataFirst,live,LiveWindow,live-source,24000,0,0,0,25,0.001375
88,MetadataFirst,metadata,MetadataScan,metadata-source,100,25,1800,0,1,0.000041
88,MetadataFirst,history,HistoricalAVG,historical-source,250000,25,1200,0,25,0.000042
88,MetadataFirst,join,BindJoin,coordinator,25,0,0,0,0,0.000041
89,LiveMetadataSemiJoin,live,LiveWindow,live-source,24000,2400,192000,0,100,0.001375
89,LiveMetadataSemiJoin,metadata,MetadataScan,metadata-source,100,0,0,400,1,0.000042
89,LiveMetadataSemiJoin,keys,SemiJoin,coordinator,10,0,400,400,1,0.000042
89,LiveMetadataSemiJoin,history,HistoricalAVG,historical-source,0,0,0,0,0,0.000041
89,LiveMetadataSemiJoin,join,SemiJoin,coordinator,10,0,0,0,0,0.000041
90,CentralFetchAll,live,LiveWindow,live-source,24000,2400,192000,0,100,0.002792
90,CentralFetchAll,metadata,MetadataScan,metadata-source,100,50,3600,0,1,0.000042
90,CentralFetchAll,history,HistoricalScan,historical-source,1000000,1000000,80000000,0,100,0.000041
90,CentralFetchAll,join,HashJoin,coordinator,2450,1920,0,0,0,0.000042
91,AggregateAll,live,LiveWindow,live-source,24000,2400,192000,0,100,0.002250
91,AggregateAll,metadata,MetadataScan,metadata-source,100,50,3600,0,1,0.000041
91,AggregateAll,history,HistoricalAVG,historical-source,1000000,100,4800,0,100,0.000042
91,AggregateAll,join,HashJoin,coordinator,2450,1920,0,0,0,0.000041
92,LiveFirst,live,LiveWindow,live-source,24000,2400,192000,0,100,0.002125
92,LiveFirst,metadata,MetadataScan,metadata-source,100,50,3600,0,1,0.000041
92,LiveFirst,history,HistoricalAVG,historical-source,100000,10,480,0,10,0.000042
92,LiveFirst,join,HashJoin,coordinator,2450,1920,0,0,0,0.000041
93,MetadataFirst,live,LiveWindow,live-source,24000,1920,153600,0,50,0.002208
93,MetadataFirst,metadata,MetadataScan,metadata-source,100,50,3600,0,1,0.000042
93,MetadataFirst,history,HistoricalAVG,historical-source,500000,50,2400,0,50,0.000042
93,MetadataFirst,join,BindJoin,coordinator,1970,1920,0,0,0,0.000042
94,LiveMetadataSemiJoin,live,LiveWindow,live-source,24000,2400,192000,0,100,0.002209
94,LiveMetadataSemiJoin,metadata,MetadataScan,metadata-source,100,8,576,720,1,0.000042
94,LiveMetadataSemiJoin,keys,SemiJoin,coordinator,10,8,720,720,1,0.000042
94,LiveMetadataSemiJoin,history,HistoricalAVG,historical-source,80000,8,384,0,8,0.000042
94,LiveMetadataSemiJoin,join,SemiJoin,coordinator,18,8,0,0,0,0.000042
95,CentralFetchAll,live,LiveWindow,live-source,24000,2400,192000,0,100,0.002792
95,CentralFetchAll,metadata,MetadataScan,metadata-source,100,75,5400,0,1,0.000042
95,CentralFetchAll,history,HistoricalScan,historical-source,1000000,1000000,80000000,0,100,0.000042
95,CentralFetchAll,join,HashJoin,coordinator,2475,2400,0,0,0,0.000042
96,AggregateAll,live,LiveWindow,live-source,24000,2400,192000,0,100,0.002500
96,AggregateAll,metadata,MetadataScan,metadata-source,100,75,5400,0,1,0.000042
96,AggregateAll,history,HistoricalAVG,historical-source,1000000,100,4800,0,100,0.000042
96,AggregateAll,join,HashJoin,coordinator,2475,2400,0,0,0,0.000041
97,LiveFirst,live,LiveWindow,live-source,24000,2400,192000,0,100,0.002333
97,LiveFirst,metadata,MetadataScan,metadata-source,100,75,5400,0,1,0.000042
97,LiveFirst,history,HistoricalAVG,historical-source,100000,10,480,0,10,0.000042
97,LiveFirst,join,HashJoin,coordinator,2475,2400,0,0,0,0.000000
98,MetadataFirst,live,LiveWindow,live-source,24000,2400,192000,0,75,0.002250
98,MetadataFirst,metadata,MetadataScan,metadata-source,100,75,5400,0,1,0.000042
98,MetadataFirst,history,HistoricalAVG,historical-source,750000,75,3600,0,75,0.000042
98,MetadataFirst,join,BindJoin,coordinator,2475,2400,0,0,0,0.000041
99,LiveMetadataSemiJoin,live,LiveWindow,live-source,24000,2400,192000,0,100,0.002250
99,LiveMetadataSemiJoin,metadata,MetadataScan,metadata-source,100,10,720,800,1,0.000042
99,LiveMetadataSemiJoin,keys,SemiJoin,coordinator,10,10,800,800,1,0.000042
99,LiveMetadataSemiJoin,history,HistoricalAVG,historical-source,100000,10,480,0,10,0.000041
99,LiveMetadataSemiJoin,join,SemiJoin,coordinator,20,10,0,0,0,0.000041
100,CentralFetchAll,live,LiveWindow,live-source,24000,2400,192000,0,100,0.003084
100,CentralFetchAll,metadata,MetadataScan,metadata-source,100,100,7200,0,1,0.000042
100,CentralFetchAll,history,HistoricalScan,historical-source,1000000,1000000,80000000,0,100,0.000042
100,CentralFetchAll,join,HashJoin,coordinator,2500,2400,0,0,0,0.000042
101,AggregateAll,live,LiveWindow,live-source,24000,2400,192000,0,100,0.002583
101,AggregateAll,metadata,MetadataScan,metadata-source,100,100,7200,0,1,0.000042
101,AggregateAll,history,HistoricalAVG,historical-source,1000000,100,4800,0,100,0.000042
101,AggregateAll,join,HashJoin,coordinator,2500,2400,0,0,0,0.000041
102,LiveFirst,live,LiveWindow,live-source,24000,2400,192000,0,100,0.002500
102,LiveFirst,metadata,MetadataScan,metadata-source,100,100,7200,0,1,0.000042
102,LiveFirst,history,HistoricalAVG,historical-source,100000,10,480,0,10,0.000042
102,LiveFirst,join,HashJoin,coordinator,2500,2400,0,0,0,0.000042
103,MetadataFirst,live,LiveWindow,live-source,24000,2400,192000,0,100,0.002458
103,MetadataFirst,metadata,MetadataScan,metadata-source,100,100,7200,0,1,0.000000
103,MetadataFirst,history,HistoricalAVG,historical-source,1000000,100,4800,0,100,0.000000
103,MetadataFirst,join,BindJoin,coordinator,2500,2400,0,0,0,0.000041
104,LiveMetadataSemiJoin,live,LiveWindow,live-source,24000,2400,192000,0,100,0.002291
104,LiveMetadataSemiJoin,metadata,MetadataScan,metadata-source,100,10,720,800,1,0.000000
104,LiveMetadataSemiJoin,keys,SemiJoin,coordinator,10,10,800,800,1,0.000042
104,LiveMetadataSemiJoin,history,HistoricalAVG,historical-source,100000,10,480,0,10,0.000042
104,LiveMetadataSemiJoin,join,SemiJoin,coordinator,20,10,0,0,0,0.000042
105,CentralFetchAll,live,LiveWindow,live-source,24000,6000,480000,0,100,0.001541
105,CentralFetchAll,metadata,MetadataScan,metadata-source,100,1,72,0,1,0.000041
105,CentralFetchAll,history,HistoricalScan,historical-source,1000000,1000000,80000000,0,100,0.000041
105,CentralFetchAll,join,HashJoin,coordinator,6001,0,0,0,0,0.000042
106,AggregateAll,live,LiveWindow,live-source,24000,6000,480000,0,100,0.000958
106,AggregateAll,metadata,MetadataScan,metadata-source,100,1,72,0,1,0.000042
106,AggregateAll,history,HistoricalAVG,historical-source,1000000,100,4800,0,100,0.000042
106,AggregateAll,join,HashJoin,coordinator,6001,0,0,0,0,0.000041
107,LiveFirst,live,LiveWindow,live-source,24000,6000,480000,0,100,0.000917
107,LiveFirst,metadata,MetadataScan,metadata-source,100,1,72,0,1,0.000042
107,LiveFirst,history,HistoricalAVG,historical-source,250000,25,1200,0,25,0.000042
107,LiveFirst,join,HashJoin,coordinator,6001,0,0,0,0,0.000000
108,MetadataFirst,live,LiveWindow,live-source,24000,0,0,0,1,0.000916
108,MetadataFirst,metadata,MetadataScan,metadata-source,100,1,72,0,1,0.000041
108,MetadataFirst,history,HistoricalAVG,historical-source,10000,1,48,0,1,0.000041
108,MetadataFirst,join,BindJoin,coordinator,1,0,0,0,0,0.000042
109,LiveMetadataSemiJoin,live,LiveWindow,live-source,24000,6000,480000,0,100,0.000917
109,LiveMetadataSemiJoin,metadata,MetadataScan,metadata-source,100,0,0,1000,1,0.000000
109,LiveMetadataSemiJoin,keys,SemiJoin,coordinator,25,0,1000,1000,1,0.000041
109,LiveMetadataSemiJoin,history,HistoricalAVG,historical-source,0,0,0,0,0,0.000042
109,LiveMetadataSemiJoin,join,SemiJoin,coordinator,25,0,0,0,0,0.000042
110,CentralFetchAll,live,LiveWindow,live-source,24000,6000,480000,0,100,0.001417
110,CentralFetchAll,metadata,MetadataScan,metadata-source,100,5,360,0,1,0.000042
110,CentralFetchAll,history,HistoricalScan,historical-source,1000000,1000000,80000000,0,100,0.000042
110,CentralFetchAll,join,HashJoin,coordinator,6005,0,0,0,0,0.000042
111,AggregateAll,live,LiveWindow,live-source,24000,6000,480000,0,100,0.001250
111,AggregateAll,metadata,MetadataScan,metadata-source,100,5,360,0,1,0.000042
111,AggregateAll,history,HistoricalAVG,historical-source,1000000,100,4800,0,100,0.000042
111,AggregateAll,join,HashJoin,coordinator,6005,0,0,0,0,0.000042
112,LiveFirst,live,LiveWindow,live-source,24000,6000,480000,0,100,0.001000
112,LiveFirst,metadata,MetadataScan,metadata-source,100,5,360,0,1,0.000042
112,LiveFirst,history,HistoricalAVG,historical-source,250000,25,1200,0,25,0.000042
112,LiveFirst,join,HashJoin,coordinator,6005,0,0,0,0,0.000042
113,MetadataFirst,live,LiveWindow,live-source,24000,0,0,0,5,0.001000
113,MetadataFirst,metadata,MetadataScan,metadata-source,100,5,360,0,1,0.000042
113,MetadataFirst,history,HistoricalAVG,historical-source,50000,5,240,0,5,0.000042
113,MetadataFirst,join,BindJoin,coordinator,5,0,0,0,0,0.000042
114,LiveMetadataSemiJoin,live,LiveWindow,live-source,24000,6000,480000,0,100,0.001000
114,LiveMetadataSemiJoin,metadata,MetadataScan,metadata-source,100,0,0,1000,1,0.000041
114,LiveMetadataSemiJoin,keys,SemiJoin,coordinator,25,0,1000,1000,1,0.000042
114,LiveMetadataSemiJoin,history,HistoricalAVG,historical-source,0,0,0,0,0,0.000000
114,LiveMetadataSemiJoin,join,SemiJoin,coordinator,25,0,0,0,0,0.000042
115,CentralFetchAll,live,LiveWindow,live-source,24000,6000,480000,0,100,0.001541
115,CentralFetchAll,metadata,MetadataScan,metadata-source,100,10,720,0,1,0.000041
115,CentralFetchAll,history,HistoricalScan,historical-source,1000000,1000000,80000000,0,100,0.000041
115,CentralFetchAll,join,HashJoin,coordinator,6010,0,0,0,0,0.000042
116,AggregateAll,live,LiveWindow,live-source,24000,6000,480000,0,100,0.001292
116,AggregateAll,metadata,MetadataScan,metadata-source,100,10,720,0,1,0.000042
116,AggregateAll,history,HistoricalAVG,historical-source,1000000,100,4800,0,100,0.000000
116,AggregateAll,join,HashJoin,coordinator,6010,0,0,0,0,0.000041
117,LiveFirst,live,LiveWindow,live-source,24000,6000,480000,0,100,0.001208
117,LiveFirst,metadata,MetadataScan,metadata-source,100,10,720,0,1,0.000042
117,LiveFirst,history,HistoricalAVG,historical-source,250000,25,1200,0,25,0.000042
117,LiveFirst,join,HashJoin,coordinator,6010,0,0,0,0,0.000042
118,MetadataFirst,live,LiveWindow,live-source,24000,0,0,0,10,0.001167
118,MetadataFirst,metadata,MetadataScan,metadata-source,100,10,720,0,1,0.000042
118,MetadataFirst,history,HistoricalAVG,historical-source,100000,10,480,0,10,0.000042
118,MetadataFirst,join,BindJoin,coordinator,10,0,0,0,0,0.000042
119,LiveMetadataSemiJoin,live,LiveWindow,live-source,24000,6000,480000,0,100,0.001125
119,LiveMetadataSemiJoin,metadata,MetadataScan,metadata-source,100,0,0,1000,1,0.000000
119,LiveMetadataSemiJoin,keys,SemiJoin,coordinator,25,0,1000,1000,1,0.000042
119,LiveMetadataSemiJoin,history,HistoricalAVG,historical-source,0,0,0,0,0,0.000042
119,LiveMetadataSemiJoin,join,SemiJoin,coordinator,25,0,0,0,0,0.000041
120,CentralFetchAll,live,LiveWindow,live-source,24000,6000,480000,0,100,0.001959
120,CentralFetchAll,metadata,MetadataScan,metadata-source,100,25,1800,0,1,0.000042
120,CentralFetchAll,history,HistoricalScan,historical-source,1000000,1000000,80000000,0,100,0.000042
120,CentralFetchAll,join,HashJoin,coordinator,6025,0,0,0,0,0.000042
121,AggregateAll,live,LiveWindow,live-source,24000,6000,480000,0,100,0.001792
121,AggregateAll,metadata,MetadataScan,metadata-source,100,25,1800,0,1,0.000042
121,AggregateAll,history,HistoricalAVG,historical-source,1000000,100,4800,0,100,0.000042
121,AggregateAll,join,HashJoin,coordinator,6025,0,0,0,0,0.000042
122,LiveFirst,live,LiveWindow,live-source,24000,6000,480000,0,100,0.001500
122,LiveFirst,metadata,MetadataScan,metadata-source,100,25,1800,0,1,0.000042
122,LiveFirst,history,HistoricalAVG,historical-source,250000,25,1200,0,25,0.000042
122,LiveFirst,join,HashJoin,coordinator,6025,0,0,0,0,0.000000
123,MetadataFirst,live,LiveWindow,live-source,24000,0,0,0,25,0.001584
123,MetadataFirst,metadata,MetadataScan,metadata-source,100,25,1800,0,1,0.000042
123,MetadataFirst,history,HistoricalAVG,historical-source,250000,25,1200,0,25,0.000042
123,MetadataFirst,join,BindJoin,coordinator,25,0,0,0,0,0.000042
124,LiveMetadataSemiJoin,live,LiveWindow,live-source,24000,6000,480000,0,100,0.001542
124,LiveMetadataSemiJoin,metadata,MetadataScan,metadata-source,100,0,0,1000,1,0.000042
124,LiveMetadataSemiJoin,keys,SemiJoin,coordinator,25,0,1000,1000,1,0.000042
124,LiveMetadataSemiJoin,history,HistoricalAVG,historical-source,0,0,0,0,0,0.000041
124,LiveMetadataSemiJoin,join,SemiJoin,coordinator,25,0,0,0,0,0.000042
125,CentralFetchAll,live,LiveWindow,live-source,24000,6000,480000,0,100,0.002792
125,CentralFetchAll,metadata,MetadataScan,metadata-source,100,50,3600,0,1,0.000042
125,CentralFetchAll,history,HistoricalScan,historical-source,1000000,1000000,80000000,0,100,0.000042
125,CentralFetchAll,join,HashJoin,coordinator,6050,1920,0,0,0,0.000042
126,AggregateAll,live,LiveWindow,live-source,24000,6000,480000,0,100,0.002250
126,AggregateAll,metadata,MetadataScan,metadata-source,100,50,3600,0,1,0.000042
126,AggregateAll,history,HistoricalAVG,historical-source,1000000,100,4800,0,100,0.000000
126,AggregateAll,join,HashJoin,coordinator,6050,1920,0,0,0,0.000042
127,LiveFirst,live,LiveWindow,live-source,24000,6000,480000,0,100,0.002042
127,LiveFirst,metadata,MetadataScan,metadata-source,100,50,3600,0,1,0.000042
127,LiveFirst,history,HistoricalAVG,historical-source,250000,25,1200,0,25,0.000042
127,LiveFirst,join,HashJoin,coordinator,6050,1920,0,0,0,0.000042
128,MetadataFirst,live,LiveWindow,live-source,24000,1920,153600,0,50,0.001875
128,MetadataFirst,metadata,MetadataScan,metadata-source,100,50,3600,0,1,0.000000
128,MetadataFirst,history,HistoricalAVG,historical-source,500000,50,2400,0,50,0.000041
128,MetadataFirst,join,BindJoin,coordinator,1970,1920,0,0,0,0.000042
129,LiveMetadataSemiJoin,live,LiveWindow,live-source,24000,6000,480000,0,100,0.001750
129,LiveMetadataSemiJoin,metadata,MetadataScan,metadata-source,100,8,576,1320,1,0.000000
129,LiveMetadataSemiJoin,keys,SemiJoin,coordinator,25,8,1320,1320,1,0.000042
129,LiveMetadataSemiJoin,history,HistoricalAVG,historical-source,80000,8,384,0,8,0.000041
129,LiveMetadataSemiJoin,join,SemiJoin,coordinator,33,8,0,0,0,0.000042
130,CentralFetchAll,live,LiveWindow,live-source,24000,6000,480000,0,100,0.003375
130,CentralFetchAll,metadata,MetadataScan,metadata-source,100,75,5400,0,1,0.000042
130,CentralFetchAll,history,HistoricalScan,historical-source,1000000,1000000,80000000,0,100,0.000042
130,CentralFetchAll,join,HashJoin,coordinator,6075,6000,0,0,0,0.000000
131,AggregateAll,live,LiveWindow,live-source,24000,6000,480000,0,100,0.002750
131,AggregateAll,metadata,MetadataScan,metadata-source,100,75,5400,0,1,0.000041
131,AggregateAll,history,HistoricalAVG,historical-source,1000000,100,4800,0,100,0.000041
131,AggregateAll,join,HashJoin,coordinator,6075,6000,0,0,0,0.000000
132,LiveFirst,live,LiveWindow,live-source,24000,6000,480000,0,100,0.002500
132,LiveFirst,metadata,MetadataScan,metadata-source,100,75,5400,0,1,0.000042
132,LiveFirst,history,HistoricalAVG,historical-source,250000,25,1200,0,25,0.000000
132,LiveFirst,join,HashJoin,coordinator,6075,6000,0,0,0,0.000042
133,MetadataFirst,live,LiveWindow,live-source,24000,6000,480000,0,75,0.002500
133,MetadataFirst,metadata,MetadataScan,metadata-source,100,75,5400,0,1,0.000042
133,MetadataFirst,history,HistoricalAVG,historical-source,750000,75,3600,0,75,0.000042
133,MetadataFirst,join,BindJoin,coordinator,6075,6000,0,0,0,0.000042
134,LiveMetadataSemiJoin,live,LiveWindow,live-source,24000,6000,480000,0,100,0.002459
134,LiveMetadataSemiJoin,metadata,MetadataScan,metadata-source,100,25,1800,2000,1,0.000042
134,LiveMetadataSemiJoin,keys,SemiJoin,coordinator,25,25,2000,2000,1,0.000041
134,LiveMetadataSemiJoin,history,HistoricalAVG,historical-source,250000,25,1200,0,25,0.000042
134,LiveMetadataSemiJoin,join,SemiJoin,coordinator,50,25,0,0,0,0.000042
135,CentralFetchAll,live,LiveWindow,live-source,24000,6000,480000,0,100,0.003500
135,CentralFetchAll,metadata,MetadataScan,metadata-source,100,100,7200,0,1,0.000000
135,CentralFetchAll,history,HistoricalScan,historical-source,1000000,1000000,80000000,0,100,0.000042
135,CentralFetchAll,join,HashJoin,coordinator,6100,6000,0,0,0,0.000042
136,AggregateAll,live,LiveWindow,live-source,24000,6000,480000,0,100,0.002833
136,AggregateAll,metadata,MetadataScan,metadata-source,100,100,7200,0,1,0.000042
136,AggregateAll,history,HistoricalAVG,historical-source,1000000,100,4800,0,100,0.000042
136,AggregateAll,join,HashJoin,coordinator,6100,6000,0,0,0,0.000000
137,LiveFirst,live,LiveWindow,live-source,24000,6000,480000,0,100,0.002667
137,LiveFirst,metadata,MetadataScan,metadata-source,100,100,7200,0,1,0.000041
137,LiveFirst,history,HistoricalAVG,historical-source,250000,25,1200,0,25,0.000000
137,LiveFirst,join,HashJoin,coordinator,6100,6000,0,0,0,0.000042
138,MetadataFirst,live,LiveWindow,live-source,24000,6000,480000,0,100,0.002666
138,MetadataFirst,metadata,MetadataScan,metadata-source,100,100,7200,0,1,0.000042
138,MetadataFirst,history,HistoricalAVG,historical-source,1000000,100,4800,0,100,0.000042
138,MetadataFirst,join,BindJoin,coordinator,6100,6000,0,0,0,0.000041
139,LiveMetadataSemiJoin,live,LiveWindow,live-source,24000,6000,480000,0,100,0.002291
139,LiveMetadataSemiJoin,metadata,MetadataScan,metadata-source,100,25,1800,2000,1,0.000000
139,LiveMetadataSemiJoin,keys,SemiJoin,coordinator,25,25,2000,2000,1,0.000042
139,LiveMetadataSemiJoin,history,HistoricalAVG,historical-source,250000,25,1200,0,25,0.000041
139,LiveMetadataSemiJoin,join,SemiJoin,coordinator,50,25,0,0,0,0.000000
140,CentralFetchAll,live,LiveWindow,live-source,24000,12000,960000,0,100,0.001375
140,CentralFetchAll,metadata,MetadataScan,metadata-source,100,1,72,0,1,0.000000
140,CentralFetchAll,history,HistoricalScan,historical-source,1000000,1000000,80000000,0,100,0.000042
140,CentralFetchAll,join,HashJoin,coordinator,12001,0,0,0,0,0.000000
141,AggregateAll,live,LiveWindow,live-source,24000,12000,960000,0,100,0.000917
141,AggregateAll,metadata,MetadataScan,metadata-source,100,1,72,0,1,0.000042
141,AggregateAll,history,HistoricalAVG,historical-source,1000000,100,4800,0,100,0.000041
141,AggregateAll,join,HashJoin,coordinator,12001,0,0,0,0,0.000042
142,LiveFirst,live,LiveWindow,live-source,24000,12000,960000,0,100,0.000833
142,LiveFirst,metadata,MetadataScan,metadata-source,100,1,72,0,1,0.000041
142,LiveFirst,history,HistoricalAVG,historical-source,500000,50,2400,0,50,0.000000
142,LiveFirst,join,HashJoin,coordinator,12001,0,0,0,0,0.000042
143,MetadataFirst,live,LiveWindow,live-source,24000,0,0,0,1,0.000875
143,MetadataFirst,metadata,MetadataScan,metadata-source,100,1,72,0,1,0.000042
143,MetadataFirst,history,HistoricalAVG,historical-source,10000,1,48,0,1,0.000041
143,MetadataFirst,join,BindJoin,coordinator,1,0,0,0,0,0.000042
144,LiveMetadataSemiJoin,live,LiveWindow,live-source,24000,12000,960000,0,100,0.000792
144,LiveMetadataSemiJoin,metadata,MetadataScan,metadata-source,100,0,0,2000,1,0.000042
144,LiveMetadataSemiJoin,keys,SemiJoin,coordinator,50,0,2000,2000,1,0.000000
144,LiveMetadataSemiJoin,history,HistoricalAVG,historical-source,0,0,0,0,0,0.000042
144,LiveMetadataSemiJoin,join,SemiJoin,coordinator,50,0,0,0,0,0.000041
145,CentralFetchAll,live,LiveWindow,live-source,24000,12000,960000,0,100,0.001458
145,CentralFetchAll,metadata,MetadataScan,metadata-source,100,5,360,0,1,0.000041
145,CentralFetchAll,history,HistoricalScan,historical-source,1000000,1000000,80000000,0,100,0.000042
145,CentralFetchAll,join,HashJoin,coordinator,12005,0,0,0,0,0.000042
146,AggregateAll,live,LiveWindow,live-source,24000,12000,960000,0,100,0.001125
146,AggregateAll,metadata,MetadataScan,metadata-source,100,5,360,0,1,0.000042
146,AggregateAll,history,HistoricalAVG,historical-source,1000000,100,4800,0,100,0.000042
146,AggregateAll,join,HashJoin,coordinator,12005,0,0,0,0,0.000041
147,LiveFirst,live,LiveWindow,live-source,24000,12000,960000,0,100,0.001042
147,LiveFirst,metadata,MetadataScan,metadata-source,100,5,360,0,1,0.000041
147,LiveFirst,history,HistoricalAVG,historical-source,500000,50,2400,0,50,0.000042
147,LiveFirst,join,HashJoin,coordinator,12005,0,0,0,0,0.000042
148,MetadataFirst,live,LiveWindow,live-source,24000,0,0,0,5,0.001042
148,MetadataFirst,metadata,MetadataScan,metadata-source,100,5,360,0,1,0.000000
148,MetadataFirst,history,HistoricalAVG,historical-source,50000,5,240,0,5,0.000041
148,MetadataFirst,join,BindJoin,coordinator,5,0,0,0,0,0.000000
149,LiveMetadataSemiJoin,live,LiveWindow,live-source,24000,12000,960000,0,100,0.001000
149,LiveMetadataSemiJoin,metadata,MetadataScan,metadata-source,100,0,0,2000,1,0.000042
149,LiveMetadataSemiJoin,keys,SemiJoin,coordinator,50,0,2000,2000,1,0.000000
149,LiveMetadataSemiJoin,history,HistoricalAVG,historical-source,0,0,0,0,0,0.000000
149,LiveMetadataSemiJoin,join,SemiJoin,coordinator,50,0,0,0,0,0.000041
150,CentralFetchAll,live,LiveWindow,live-source,24000,12000,960000,0,100,0.001500
150,CentralFetchAll,metadata,MetadataScan,metadata-source,100,10,720,0,1,0.000041
150,CentralFetchAll,history,HistoricalScan,historical-source,1000000,1000000,80000000,0,100,0.000042
150,CentralFetchAll,join,HashJoin,coordinator,12010,0,0,0,0,0.000042
151,AggregateAll,live,LiveWindow,live-source,24000,12000,960000,0,100,0.001125
151,AggregateAll,metadata,MetadataScan,metadata-source,100,10,720,0,1,0.000042
151,AggregateAll,history,HistoricalAVG,historical-source,1000000,100,4800,0,100,0.000042
151,AggregateAll,join,HashJoin,coordinator,12010,0,0,0,0,0.000041
152,LiveFirst,live,LiveWindow,live-source,24000,12000,960000,0,100,0.001166
152,LiveFirst,metadata,MetadataScan,metadata-source,100,10,720,0,1,0.000042
152,LiveFirst,history,HistoricalAVG,historical-source,500000,50,2400,0,50,0.000042
152,LiveFirst,join,HashJoin,coordinator,12010,0,0,0,0,0.000041
153,MetadataFirst,live,LiveWindow,live-source,24000,0,0,0,10,0.001167
153,MetadataFirst,metadata,MetadataScan,metadata-source,100,10,720,0,1,0.000000
153,MetadataFirst,history,HistoricalAVG,historical-source,100000,10,480,0,10,0.000042
153,MetadataFirst,join,BindJoin,coordinator,10,0,0,0,0,0.000000
154,LiveMetadataSemiJoin,live,LiveWindow,live-source,24000,12000,960000,0,100,0.001125
154,LiveMetadataSemiJoin,metadata,MetadataScan,metadata-source,100,0,0,2000,1,0.000041
154,LiveMetadataSemiJoin,keys,SemiJoin,coordinator,50,0,2000,2000,1,0.000000
