strategy,historical_sensors,historical_observations,historical_observations_per_sensor,live_sensors,repetition,random_seed,total_latency_ms,historical_source_time_ms,coordinator_time_ms,historical_entities_looked_up,historical_records_scanned,historical_records_matched,historical_records_returned,live_records_processed,bytes_sent_to_historical_source,bytes_received_from_historical_source,total_bytes_transferred,source_requests,result_count,result_hash
aggregate-pushdown,100000,10000000,100,10000,1,17,7.139458,6.645500,0.494000,100000,10000000,10000000,100000,10000,0,1200000,1320000,2,10000,13808986774228246291
aggregate-pushdown,100000,10000000,100,10000,2,17,7.218375,6.715833,0.502542,100000,10000000,10000000,100000,10000,0,1200000,1320000,2,10000,13808986774228246291
bind-join,100000,10000000,100,10000,0,17,2.480791,2.068000,0.412750,10000,1000000,1000000,10000,10000,40000,120000,280000,2,10000,13808986774228246291
bind-join,100000,10000000,100,10000,1,17,2.109459,1.693584,0.415875,10000,1000000,1000000,10000,10000,40000,120000,280000,2,10000,13808986774228246291
bind-join,100000,10000000,100,10000,2,17,1.967125,1.539875,0.427250,10000,1000000,1000000,10000,10000,40000,120000,280000,2,10000,13808986774228246291
fetch-all,100000,10000000,100,25000,0,17,8.137083,6.848083,1.289000,100000,10000000,10000000,10000000,25000,0,240000000,240300000,2,25000,17253758056148863903
fetch-all,100000,10000000,100,25000,1,17,8.222708,6.946417,1.276333,100000,10000000,10000000,10000000,25000,0,240000000,240300000,2,25000,17253758056148863903
fetch-all,100000,10000000,100,25000,2,17,8.047708,6.762292,1.285375,100000,10000000,10000000,10000000,25000,0,240000000,240300000,2,25000,17253758056148863903
aggregate-pushdown,100000,10000000,100,25000,0,17,7.805125,6.544292,1.260875,100000,10000000,10000000,100000,25000,0,1200000,1500000,2,25000,17253758056148863903
aggregate-pushdown,100000,10000000,100,25000,1,17,7.962792,6.705833,1.257000,100000,10000000,10000000,100000,25000,0,1200000,1500000,2,25000,17253758056148863903
aggregate-pushdown,100000,10000000,100,25000,2,17,7.943417,6.717375,1.225917,100000,10000000,10000000,100000,25000,0,1200000,1500000,2,25000,17253758056148863903
bind-join,100000,10000000,100,25000,0,17,7.066000,5.911584,1.154458,25000,2500000,2500000,25000,25000,100000,300000,700000,2,25000,17253758056148863903
bind-join,100000,10000000,100,25000,1,17,6.983167,5.857084,1.126083,25000,2500000,2500000,25000,25000,100000,300000,700000,2,25000,17253758056148863903
